"id","chembl_id"
2,"CHEMBL1515948"
3,"CHEMBL1718398"
4,"CHEMBL1969752"
6,"CHEMBL3559826"
8,"CHEMBL1085946"
11,"CHEMBL183419"
16,"CHEMBL770"
18,"CHEMBL1618762"
19,"CHEMBL440895"
20,"CHEMBL228792"
21,"CHEMBL152299"
23,"CHEMBL1369381"
24,"CHEMBL121047"
26,"CHEMBL378770"
28,"CHEMBL3753783"
36,"CHEMBL2132328"
40,"CHEMBL1230831"
43,"CHEMBL192812"
46,"CHEMBL27706"
52,"CHEMBL1231413"
53,"CHEMBL3278514"
55,"CHEMBL1496898"
55,"CHEMBL280963"
56,"CHEMBL2135489"
58,"CHEMBL1491920"
61,"CHEMBL16396"
64,"CHEMBL30773"
65,"CHEMBL15980"
68,"CHEMBL3185808"
76,"CHEMBL1908847"
76,"CHEMBL2010478"
76,"CHEMBL412873"
77,"CHEMBL3329704"
80,"CHEMBL22830"
81,"CHEMBL15487"
82,"CHEMBL276521"
85,"CHEMBL1575635"
87,"CHEMBL355821"
88,"CHEMBL1743219"
92,"CHEMBL380352"
96,"CHEMBL1797271"
98,"CHEMBL2407181"
99,"CHEMBL370687"
101,"CHEMBL370688"
103,"CHEMBL3640772"
106,"CHEMBL1922602"
106,"CHEMBL3343660"
108,"CHEMBL401798"
110,"CHEMBL362071"
111,"CHEMBL3343659"
113,"CHEMBL2087253"
120,"CHEMBL511443"
121,"CHEMBL2059646"
122,"CHEMBL1572261"
122,"CHEMBL1708854"
122,"CHEMBL1904496"
122,"CHEMBL1968861"
122,"CHEMBL252915"
122,"CHEMBL43469"
128,"CHEMBL16236"
132,"CHEMBL1324708"
132,"CHEMBL2373362"
133,"CHEMBL1939730"
133,"CHEMBL88985"
136,"CHEMBL170934"
136,"CHEMBL275748"
140,"CHEMBL2252901"
142,"CHEMBL3099615"
144,"CHEMBL442589"
144,"CHEMBL508652"
145,"CHEMBL2069823"
147,"CHEMBL721"
151,"CHEMBL31747"
154,"CHEMBL3185269"
160,"CHEMBL3593943"
161,"CHEMBL1397610"
163,"CHEMBL3593942"
165,"CHEMBL233248"
166,"CHEMBL2268886"
174,"CHEMBL170458"
176,"CHEMBL359965"
177,"CHEMBL122289"
177,"CHEMBL122890"
178,"CHEMBL366603"
179,"CHEMBL123040"
180,"CHEMBL1947232"
185,"CHEMBL242273"
186,"CHEMBL501879"
195,"CHEMBL285235"
200,"CHEMBL1255"
201,"CHEMBL135626"
216,"CHEMBL444776"
219,"CHEMBL1968944"
232,"CHEMBL1276308"
236,"CHEMBL479330"
254,"CHEMBL2002162"
255,"CHEMBL189790"
258,"CHEMBL1990401"
259,"CHEMBL457713"
261,"CHEMBL1709582"
264,"CHEMBL1968292"
265,"CHEMBL400927"
268,"CHEMBL359987"
271,"CHEMBL454647"
275,"CHEMBL1213531"
280,"CHEMBL1870203"
283,"CHEMBL443717"
294,"CHEMBL492209"
298,"CHEMBL47244"
301,"CHEMBL2287241"
302,"CHEMBL401583"
304,"CHEMBL15676"
304,"CHEMBL2229268"
304,"CHEMBL501949"
305,"CHEMBL1385229"
305,"CHEMBL1907992"
308,"CHEMBL446762"
308,"CHEMBL448266"
